iter	RMSE
0	4.5767603
1	4.570803983
2	4.564969252
3	4.560129348
4	4.554317244
5	4.548465689
6	4.542214714
7	4.536763637
8	4.533176228
9	4.527623638
10	4.521160929
11	4.515399491
12	4.50965643
13	4.504867998
14	4.500772723
15	4.495418771
16	4.490099197
17	4.483865594
18	4.482019956
19	4.476299909
20	4.4712006
21	4.465375009
22	4.461592148
23	4.456664874
24	4.45190736
25	4.446939206
26	4.441883473
27	4.437011596
28	4.432709086
29	4.427660964
30	4.423029811
31	4.418998608
32	4.414173357
33	4.408730759
34	4.403963258
35	4.399423299
36	4.395491535
37	4.392987311
38	4.38924447
39	4.38632089
40	4.381886126
41	4.37774306
42	4.374897853
43	4.369941858
44	4.365659342
45	4.362036208
46	4.358627069
47	4.355457668
48	4.352465317
49	4.348765716
50	4.344685079
51	4.340411464
52	4.337485927
53	4.33366658
54	4.329074721
55	4.325178264
56	4.32170559
57	4.31822562
58	4.314519702
59	4.310845486
60	4.307523191
61	4.303659845
62	4.299815204
63	4.296992677
64	4.2940833
65	4.291366057
66	4.288577886
67	4.284743527
68	4.28110022
69	4.277651781
70	4.27423263
71	4.270679441
72	4.267848332
73	4.265055145
74	4.262339775
75	4.258533664
76	4.255998952
77	4.25388181
78	4.251557255
79	4.24835521
80	4.245194896
81	4.241633712
82	4.239050537
83	4.235802153
84	4.232431089
85	4.229656741
86	4.226069602
87	4.223640526
88	4.220886627
89	4.218926541
90	4.215742662
91	4.213113114
92	4.210222041
93	4.207770372
94	4.205605893
95	4.203495691
96	4.202326904
97	4.200423087
98	4.19786943
99	4.194597893
100	4.191765905
101	4.189244151
102	4.186234139
103	4.184293193
104	4.181046078
105	4.177747558
106	4.175807103
107	4.173178368
108	4.17024587
109	4.168292683
110	4.166834456
111	4.163684578
112	4.160400567
113	4.15799234
114	4.156155736
115	4.154053413
116	4.151542354
117	4.149245043
118	4.146058257
119	4.144213016
120	4.142541698
121	4.140363571
122	4.137831199
123	4.136138361
124	4.133771559
125	4.132323543
126	4.129696875
127	4.128330817
128	4.126929125
129	4.124755601
130	4.122426519
131	4.120048385
132	4.118112704
133	4.116744726
134	4.114567517
135	4.113262318
136	4.111926142
137	4.109880031
138	4.108247606
139	4.106770145
140	4.104175981
141	4.101957579
142	4.100880108
143	4.098652538
144	4.096880456
145	4.095012985
146	4.093277999
147	4.09119426
148	4.089182187
149	4.088103853
150	4.086161002
151	4.08399749
152	4.082647406
153	4.080148365
154	4.078147181
155	4.077118332
156	4.075646731
157	4.074023566
158	4.072101195
159	4.070461374
160	4.067785355
161	4.066139684
162	4.064785537
163	4.063219143
164	4.061304234
165	4.059646826
166	4.058241869
167	4.056238874
168	4.054397921
169	4.05347009
170	4.051002854
171	4.04946684
172	4.047584431
173	4.045504568
174	4.043684047
175	4.04262422
176	4.041446371
177	4.039154056
178	4.037628501
179	4.036716356
180	4.034644676
181	4.033227802
182	4.031676129
183	4.030106055
184	4.028859676
185	4.027355657
186	4.026019098
187	4.025052148
188	4.024196184
189	4.022766599
190	4.021128589
191	4.019632213
192	4.018700985
193	4.017470903
194	4.01572633
195	4.014193299
196	4.013010694
197	4.011334146
198	4.009405567
199	4.007176017
200	4.005375282
201	4.002666502
202	4.000345662
203	3.999201678
204	3.998980373
205	3.998325471
206	3.997047145
207	3.995280456
208	3.993894318
209	3.992083361
210	3.990285038
211	3.98793989
212	3.986860296
213	3.986264641
214	3.985160422
215	3.984137207
216	3.983230306
217	3.98164206
218	3.980333235
219	3.979611495
220	3.978230372
221	3.976953935
222	3.975110323
223	3.973905196
224	3.97303752
225	3.971496021
226	3.969349721
227	3.967582672
228	3.966950389
229	3.965201837
230	3.96444001
231	3.962854224
232	3.961836622
233	3.960852214
234	3.959577482
235	3.957818194
236	3.957208423
237	3.956235597
238	3.955061785
239	3.95330746
240	3.952057204
241	3.950452131
242	3.949476033
243	3.948836682
244	3.947495634
245	3.946418381
246	3.944613305
247	3.942829989
248	3.941952633
249	3.940541612
250	3.939942302
251	3.939060281
252	3.938269256
253	3.937046896
254	3.936093114
255	3.935649626
256	3.934596035
257	3.933398969
258	3.931711593
259	3.930791007
260	3.930069222
261	3.92879983
262	3.92766993
263	3.925973799
264	3.924269704
265	3.923086983
266	3.921150083
267	3.919800141
268	3.918448553
269	3.917645718
270	3.916845815
271	3.915705828
272	3.914035055
273	3.912840139
274	3.911035885
275	3.909881673
276	3.908607838
277	3.90745638
278	3.905662698
279	3.904280699
280	3.903637873
281	3.902082579
282	3.900674345
283	3.898800037
284	3.897508557
285	3.895770869
286	3.894415812
287	3.893739724
288	3.892293177
289	3.890969521
290	3.889866031
291	3.888984587
292	3.887655207
293	3.886212658
294	3.885007592
295	3.884148722
296	3.882786668
297	3.88127845
298	3.880768615
299	3.879858259
300	3.879197238
301	3.87851353
302	3.878345416
303	3.877054832
304	3.87589834
305	3.875634055
306	3.87427966
307	3.873447478
308	3.872615513
309	3.870827808
310	3.869814453
311	3.869242132
312	3.868037445
313	3.866540166
314	3.865358455
315	3.864918324
316	3.863518871
317	3.862193846
318	3.861119091
319	3.860624487
320	3.859424986
321	3.858344465
322	3.857468994
323	3.855833157
324	3.854162583
325	3.853764888
326	3.851895527
327	3.850894329
328	3.850316127
329	3.849803271
330	3.848594436
331	3.846817091
332	3.845728933
333	3.845033328
334	3.844405532
335	3.84373135
336	3.842545134
337	3.841632864
338	3.84092807
339	3.840242369
340	3.839384332
341	3.837202267
342	3.837157469
343	3.836646847
344	3.836131968
345	3.835087857
346	3.833932373
347	3.832980259
348	3.831610822
349	3.830559986
350	3.828951142
351	3.82809372
352	3.82720342
353	3.826072363
354	3.824927637
355	3.824324594
356	3.823434224
357	3.822810377
358	3.821151013
359	3.820568574
360	3.819365383
361	3.818380911
362	3.817616081
363	3.816236394
364	3.815065423
365	3.814322458
366	3.812512289
367	3.811670172
368	3.810815747
369	3.809309477
370	3.808865052
371	3.80805284
372	3.807640588
373	3.806382918
374	3.80547773
375	3.804700027
376	3.803143059
377	3.802122727
378	3.801546833
379	3.800388565
380	3.799937142
381	3.799409526
382	3.798481599
383	3.797888079
384	3.797529
385	3.795991573
386	3.795533823
387	3.793924911
388	3.792507463
389	3.791616397
390	3.791196437
391	3.790759642
392	3.789848965
393	3.789450554
394	3.788882856
395	3.787846945
396	3.787027219
397	3.786253766
398	3.784798943
399	3.784071266
400	3.782539859
401	3.781884784
402	3.781393453
403	3.781124488
404	3.780065817
405	3.779244717
406	3.777787804
407	3.776997432
408	3.774984791
409	3.774424918
410	3.773987864
411	3.773285513
412	3.772900113
413	3.772361955
414	3.770784266
415	3.770254986
416	3.769121542
417	3.768760384
418	3.767835243
419	3.767515915
420	3.767225613
421	3.766610149
422	3.765994158
423	3.764838286
424	3.764503993
425	3.764102835
426	3.763543921
427	3.76323201
428	3.761714631
429	3.761029042
430	3.760026043
431	3.759747353
432	3.759327189
433	3.757982426
434	3.757099204
435	3.756756257
436	3.756053441
437	3.755783133
438	3.755098258
439	3.754145345
440	3.75370826
441	3.752632737
442	3.751105888
443	3.75068983
444	3.749299966
445	3.747758601
446	3.746983527
447	3.74606337
448	3.74522393
449	3.745084173
450	3.744681291
451	3.744113064
452	3.743200697
453	3.742376384
454	3.741353318
455	3.740762969
456	3.739474979
457	3.738864774
458	3.73846433
459	3.738154965
460	3.736607754
461	3.736339544
462	3.735458257
463	3.735007969
464	3.733787606
465	3.733282002
466	3.732345014
467	3.731638612
468	3.730699246
469	3.730381081
470	3.729629191
471	3.728612784
472	3.727813211
473	3.727575754
474	3.726652574
475	3.726418401
476	3.726122485
477	3.72554513
478	3.724539033
479	3.723217613
480	3.722656039
481	3.721614974
482	3.721414581
483	3.720177796
484	3.719284012
485	3.718286758
486	3.718014234
487	3.716977449
488	3.715756724
489	3.715208123
490	3.713913084
491	3.71309786
492	3.711990011
493	3.710669693
494	3.710084084
495	3.709216654
496	3.708720586
497	3.708580299
498	3.708483125
499	3.707600286
500	3.706916443
501	3.706110765
502	3.70564946
503	3.705514482
504	3.705329677
505	3.704429672
506	3.703958345
507	3.703438566
508	3.702294773
509	3.701926375
510	3.701300144
511	3.70105052
512	3.699553109
513	3.698902989
514	3.698413404
515	3.697966593
516	3.697654926
517	3.696248152
518	3.695778977
519	3.695430167
520	3.694763767
521	3.694310648
522	3.692507899
523	3.692031472
524	3.691381505
525	3.690123996
526	3.689834417
527	3.688664902
528	3.68792791
529	3.687013362
530	3.685960173
531	3.685656969
532	3.684803015
533	3.683828933
534	3.683241872
535	3.682652902
536	3.681981454
537	3.681804172
538	3.681389003
539	3.680711948
540	3.680334208
541	3.679404429
542	3.679091946
543	3.678459647
544	3.6778331
545	3.676811085
546	3.676289236
547	3.675313066
548	3.674359578
549	3.673899798
550	3.673727513
551	3.673388687
552	3.672814977
553	3.672069807
554	3.671748426
555	3.671322959
556	3.671166443
557	3.671048445
558	3.670077176
559	3.669380414
560	3.66903303
561	3.668611227
562	3.667955773
563	3.667465831
564	3.666438405
565	3.666305622
566	3.665482445
567	3.66437955
568	3.66337963
569	3.6620771
570	3.66134357
571	3.660848038
