iter	Passed	Remaining
0	0	588
1	1	543
2	1	509
3	1	489
4	2	489
5	2	492
6	3	487
7	3	478
8	4	468
9	4	461
10	5	453
11	5	448
12	5	442
13	6	436
14	6	431
15	6	421
16	7	414
17	7	407
18	7	397
19	8	392
20	8	387
21	8	383
22	8	380
23	9	375
24	9	372
25	9	369
26	10	366
27	10	362
28	10	359
29	11	357
30	11	353
31	11	351
32	11	349
33	12	346
34	12	343
35	12	341
36	13	339
37	13	337
38	13	335
39	13	333
40	14	331
41	14	329
42	14	327
43	15	326
44	15	324
45	15	324
46	15	322
47	16	321
48	16	317
49	16	315
50	16	314
51	17	313
52	17	312
53	17	311
54	18	310
55	18	309
56	18	308
57	18	308
58	19	307
59	19	306
60	19	305
61	20	304
62	20	303
63	20	302
64	21	302
65	21	303
66	21	302
67	22	302
68	22	301
69	22	300
70	22	299
71	23	299
72	23	298
73	23	297
74	24	296
75	24	295
76	24	295
77	24	294
78	25	292
79	25	293
80	25	293
81	26	293
82	26	293
83	26	293
84	27	293
85	27	294
86	28	294
87	28	294
88	28	294
89	29	294
90	29	294
91	29	293
92	30	293
93	30	293
94	30	293
95	31	292
96	31	292
97	31	291
98	32	291
99	32	290
100	32	290
101	32	290
102	33	289
103	33	289
104	33	289
105	34	288
106	34	288
107	34	288
108	35	288
109	35	287
110	35	287
111	36	286
112	36	286
113	36	286
114	37	286
115	37	286
116	37	286
117	38	285
118	38	285
119	38	285
120	39	284
121	39	284
122	39	284
123	40	284
124	40	283
125	40	283
126	41	283
127	41	283
128	42	283
129	42	283
130	42	283
131	43	283
132	43	283
133	43	282
134	44	282
135	44	282
136	44	281
137	45	281
138	45	281
139	45	280
140	46	280
141	46	280
142	46	280
143	47	280
144	47	280
145	47	279
146	48	279
147	48	279
148	48	279
149	49	278
150	49	278
151	49	277
152	50	277
153	50	277
154	50	277
155	51	276
156	51	276
157	51	276
158	52	276
159	52	276
160	52	275
161	53	275
162	53	275
163	53	274
164	54	274
165	54	274
166	54	273
167	55	273
168	55	272
169	55	272
170	56	272
171	56	271
172	56	271
173	57	271
174	57	271
175	57	270
176	58	270
177	58	270
178	58	269
179	59	269
180	59	269
181	59	268
182	60	268
183	60	268
184	60	268
185	61	268
186	61	268
187	62	267
188	62	267
189	62	267
190	63	267
191	63	266
192	63	266
193	64	266
194	64	265
195	64	265
196	65	265
197	65	265
198	65	264
199	66	264
200	66	264
201	66	264
202	67	263
203	67	263
204	67	262
205	67	262
206	68	261
207	68	261
208	68	261
209	69	260
210	69	260
211	69	259
212	70	259
213	70	259
214	70	258
215	71	258
216	71	258
217	71	257
218	72	257
219	72	257
220	73	257
221	73	257
222	73	257
223	74	256
224	74	256
225	74	256
226	75	255
227	75	255
228	75	255
229	76	255
230	76	255
231	76	254
232	77	254
233	77	254
234	78	253
235	78	253
236	78	253
237	78	252
238	79	252
239	79	252
240	80	252
241	80	251
242	80	251
243	80	250
244	81	250
245	81	250
246	81	249
247	82	249
248	82	249
249	82	248
250	83	248
251	83	248
252	83	247
253	84	247
254	84	246
255	84	246
256	85	246
257	85	245
258	85	245
259	86	244
260	86	244
261	86	244
262	86	243
263	87	243
264	87	242
265	87	242
266	88	242
267	88	242
268	88	241
269	89	241
270	89	241
271	89	240
272	90	240
273	90	239
274	90	239
275	91	239
276	91	238
277	91	238
278	92	238
279	92	237
280	92	237
281	93	237
282	93	236
283	93	236
284	94	236
285	94	236
286	94	235
287	95	235
288	95	234
289	95	234
290	96	234
291	96	233
292	96	233
293	96	232
294	97	232
295	97	232
296	97	231
297	98	231
298	98	231
299	98	230
300	99	230
301	99	230
302	99	229
303	100	229
304	100	228
305	100	228
306	100	227
307	101	227
308	101	226
309	101	226
310	102	225
311	102	225
312	102	225
313	102	224
314	103	224
315	103	223
316	103	223
317	104	223
318	104	222
319	104	222
320	104	221
321	105	221
322	105	221
323	106	221
324	106	221
325	106	221
326	107	220
327	107	220
328	107	220
329	108	219
330	108	219
331	108	218
332	109	218
333	109	218
334	109	217
335	109	217
336	110	216
337	110	216
338	110	216
339	111	215
340	111	215
341	111	214
342	111	214
343	112	213
344	112	213
345	112	213
346	113	212
347	113	212
348	113	211
349	113	211
350	114	211
351	114	210
352	114	210
353	115	209
354	115	209
355	115	209
356	115	208
357	116	208
358	116	207
359	116	207
360	117	207
361	117	206
362	117	206
363	117	206
364	118	205
365	118	205
366	118	205
367	119	204
368	119	204
369	120	204
370	120	204
371	120	204
372	121	203
373	121	203
374	121	203
375	122	202
376	122	202
377	122	202
378	123	202
379	123	201
380	124	201
381	124	201
382	124	200
383	124	200
384	125	200
385	125	199
386	125	199
387	126	198
388	126	198
389	126	198
390	126	197
391	127	197
392	127	196
393	127	196
394	128	196
395	128	195
396	128	195
397	128	195
398	129	194
399	129	194
400	129	193
401	130	193
402	130	193
403	130	192
404	130	192
405	131	191
406	131	191
407	131	191
408	132	191
409	132	190
410	133	190
411	133	190
412	133	190
413	134	189
414	134	189
415	134	189
416	135	189
417	135	188
418	135	188
419	136	188
420	136	187
421	136	187
422	137	187
423	137	186
424	137	186
425	138	186
426	138	185
427	138	185
428	139	185
429	139	184
430	139	184
431	140	184
432	140	183
433	140	183
434	141	183
435	141	182
436	141	182
437	141	182
438	142	181
439	142	181
440	142	181
441	143	180
442	143	180
443	143	180
444	144	179
445	144	179
446	144	179
447	145	178
448	145	178
449	145	178
450	146	178
451	146	177
452	146	177
453	147	177
454	147	176
455	147	176
456	148	176
457	148	175
458	148	175
459	149	175
460	149	174
461	149	174
462	150	174
463	150	173
464	150	173
465	151	173
466	151	173
467	151	172
468	152	172
469	152	172
470	152	171
471	153	171
472	153	171
473	153	170
474	154	170
475	154	170
476	154	169
477	155	169
478	155	169
479	156	169
480	156	168
481	156	168
482	157	168
483	157	167
484	157	167
485	158	167
486	158	166
487	158	166
488	159	166
489	159	166
490	160	166
491	160	165
492	160	165
493	161	165
494	161	164
495	161	164
496	162	164
497	162	163
498	162	163
499	163	163
500	163	163
501	164	162
502	164	162
503	164	162
504	165	161
505	165	161
506	166	161
507	166	161
508	166	160
509	167	160
510	167	160
511	167	160
512	168	159
513	168	159
514	169	159
515	169	158
516	169	158
517	170	158
518	170	158
519	170	157
520	171	157
521	171	157
522	171	156
523	172	156
524	172	156
525	173	156
526	173	155
527	173	155
528	174	155
529	174	154
530	174	154
531	175	154
532	175	153
533	175	153
534	176	153
535	176	152
536	177	152
537	177	152
538	177	152
539	178	151
540	178	151
541	178	151
542	179	150
543	179	150
544	179	149
545	179	149
546	180	149
547	180	148
548	180	148
549	181	148
550	181	147
551	181	147
552	182	147
553	182	146
554	182	146
555	182	146
556	183	145
557	183	145
558	183	144
559	184	144
560	184	144
561	184	143
562	184	143
563	185	143
564	185	142
565	185	142
566	186	142
567	186	141
568	186	141
569	187	141
570	187	140
571	187	140
572	188	140
573	188	139
574	188	139
575	189	139
576	189	138
577	189	138
578	189	138
579	190	137
580	190	137
581	190	137
582	191	136
583	191	136
584	191	136
585	192	135
586	192	135
587	192	134
588	192	134
589	193	134
590	193	133
591	193	133
592	194	133
593	194	132
594	194	132
595	194	132
596	195	131
597	195	131
598	195	131
599	196	130
600	196	130
601	196	130
602	196	129
603	197	129
604	197	128
605	197	128
606	198	128
607	198	127
608	198	127
609	199	127
610	199	126
611	199	126
612	199	126
613	200	125
614	200	125
615	200	125
616	201	124
617	201	124
618	202	124
619	202	124
620	202	123
621	203	123
622	203	123
623	203	122
624	204	122
625	204	122
626	204	121
627	205	121
628	205	121
629	205	120
630	206	120
631	206	120
632	206	119
633	207	119
634	207	119
635	208	119
636	208	118
637	208	118
638	208	118
639	209	117
640	209	117
641	209	117
642	210	116
643	210	116
644	210	116
645	211	115
646	211	115
647	211	115
648	212	114
649	212	114
650	212	114
651	213	113
652	213	113
653	214	113
654	214	112
655	214	112
656	215	112
657	215	112
658	215	111
659	216	111
660	216	111
661	216	110
662	217	110
663	217	110
664	218	109
665	218	109
666	218	109
667	219	108
668	219	108
669	219	108
670	220	108
671	220	107
672	220	107
673	221	107
674	221	106
675	222	106
676	222	106
677	222	105
678	223	105
679	223	105
680	223	104
681	224	104
682	224	104
683	224	103
684	225	103
685	225	103
686	225	102
687	226	102
688	226	102
689	226	101
690	227	101
691	227	101
692	227	100
693	228	100
694	228	100
695	229	100
696	229	99
697	229	99
698	230	99
699	230	98
700	230	98
701	231	98
702	231	97
703	231	97
704	232	97
705	232	96
706	233	96
707	233	96
708	233	96
709	234	95
710	234	95
711	235	95
712	235	94
713	235	94
714	236	94
715	236	93
716	236	93
717	237	93
718	237	92
719	237	92
720	238	92
721	238	91
722	239	91
723	239	91
724	239	90
725	240	90
726	240	90
727	240	89
728	241	89
729	241	89
730	242	89
731	242	88
732	242	88
733	243	88
734	243	87
735	243	87
736	244	87
737	244	86
738	245	86
739	245	86
740	245	85
741	246	85
742	246	85
743	246	84
744	247	84
745	247	84
746	247	83
747	248	83
748	248	83
749	248	82
750	249	82
751	249	82
752	249	81
753	250	81
754	250	81
755	250	80
756	251	80
757	251	80
758	251	79
759	252	79
760	252	79
761	252	78
762	253	78
763	253	78
764	253	77
765	254	77
766	254	77
767	254	76
768	254	76
769	255	76
770	255	75
771	255	75
772	256	75
773	256	74
774	256	74
775	257	74
776	257	73
777	257	73
778	257	73
779	258	72
780	258	72
781	258	72
782	259	71
783	259	71
784	259	71
785	259	70
786	260	70
787	260	70
788	260	69
789	261	69
790	261	69
791	261	68
792	262	68
793	262	68
794	262	67
795	263	67
796	263	67
797	263	66
798	264	66
799	264	66
800	264	65
801	264	65
802	265	65
803	265	64
804	265	64
805	266	64
806	266	63
807	266	63
808	267	63
809	267	62
810	267	62
811	267	62
812	268	61
813	268	61
814	268	61
815	269	60
816	269	60
817	270	60
818	270	59
819	270	59
820	271	59
821	271	58
822	271	58
823	272	58
824	272	57
825	272	57
826	273	57
827	273	56
828	273	56
829	274	56
830	274	55
831	274	55
832	274	55
833	275	54
834	275	54
835	275	54
836	276	53
837	276	53
838	276	53
839	277	52
840	277	52
841	277	52
842	278	51
843	278	51
844	278	51
845	279	50
846	279	50
847	279	50
848	279	49
849	280	49
850	280	49
851	280	48
852	281	48
853	281	48
854	281	47
855	282	47
856	282	47
857	282	46
858	283	46
859	283	46
860	283	45
861	284	45
862	284	45
863	284	44
864	285	44
865	285	44
866	285	43
867	285	43
868	286	43
869	286	42
870	286	42
871	287	42
872	287	41
873	287	41
874	288	41
875	288	40
876	288	40
877	288	40
878	289	39
879	289	39
880	289	39
881	290	38
882	290	38
883	290	38
884	290	37
885	291	37
886	291	37
887	291	36
888	292	36
889	292	36
890	292	35
891	293	35
892	293	35
893	293	34
894	293	34
895	294	34
896	294	33
897	294	33
898	295	33
899	295	32
900	295	32
901	296	32
902	296	31
903	296	31
904	296	31
905	297	30
906	297	30
907	297	30
908	298	29
909	298	29
910	298	29
911	298	28
912	299	28
913	299	28
914	299	27
915	300	27
916	300	27
917	300	26
918	301	26
919	301	26
920	301	25
921	301	25
922	302	25
923	302	24
924	303	24
925	303	24
926	303	23
927	304	23
928	304	23
929	304	22
930	304	22
931	305	22
932	305	21
933	305	21
934	306	21
935	306	20
936	306	20
937	307	20
938	307	19
939	307	19
940	308	19
941	308	18
942	308	18
943	309	18
944	309	18
945	310	17
946	310	17
947	310	17
948	311	16
949	311	16
950	312	16
951	312	15
952	313	15
953	313	15
954	313	14
955	314	14
956	314	14
957	314	13
958	315	13
959	315	13
960	315	12
961	316	12
962	316	12
963	317	11
964	317	11
965	317	11
966	318	10
967	318	10
968	319	10
969	319	9
970	319	9
971	320	9
972	320	8
973	320	8
974	321	8
975	321	7
976	322	7
977	322	7
978	322	6
979	323	6
980	323	6
981	324	5
982	324	5
983	324	5
984	325	4
985	325	4
986	326	4
987	326	3
988	326	3
989	327	3
990	327	2
991	328	2
992	328	2
993	328	1
994	329	1
995	329	1
996	330	0
997	330	0
998	330	0
999	331	0
